,num,product_page,product_description
169,169,https://ap0cene.com/collections/aephotika/products/luminescent-cocoon-necklace,"
Discovered deep within a dark and mossy forest, amidst mushrooms and dewdrops, this Luminescent Cocoon was discovered. Once belonging to a rare species of Mantis that has since taken an eternal rest, the cocoon's glow is said to calm and protect when worn. The luminescent cocoon hangs from a handmade necklace of pearls, recycled glass and semi-precious stones. 
This item is handmade.Color:  Pastel pink, green, violet, white Material: Resin, stainless steel, glass, semi precious stones, pearls, sterling silver Details: Pendant: 2cm x 6cm Chain: 48cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 19” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
178,178,https://ap0cene.com/collections/aephotika/products/ruin-s-treasure-necklace,"
            Hidden beneath cobwebs & dust, an ancient treasure lies within the silent ruins of a time now forgotten. For how long has it rested there in untouched slumber and what secrets does it hold? The ruins treasure necklace is handmade from a variety of semi precious stones and pearls, from the necklace hangs a moss-like cocoon pendant. This item is handmade.Color:  Deep olive, navy, yellow, light green Material: Semi-Precious stones, pearls, resin, sterling silver, stainless steel. Details: Pendant: 2cm x 4cm Chain: 46cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 19” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
187,187,https://ap0cene.com/collections/aephotika/products/nudibranch-talisman,"
Some say this talisman is a fossil of an ancient nudibranch or sea slug as they are more commonly known. The vibrant orange, peach and blue that make up this piece embody the whimsy and mystery of these creatures and bestow it upon the wearer The large but weightless talisman hangs from an elegant stainless steel chain made to withstand even the strongest pull. 
This item is handmade.Color:  Orange and light blue Material: Resin, glass, stainless steel Details: Pendant: 6cm x 3cm Chain: 50cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water. Size:  Length: 20” In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
203,203,https://ap0cene.com/collections/aephotika/products/candied-bleeding-heart-necklace,"
Favored by all who wish to share love, this variation of the Bleeding Heart pendant will aid you in your pursuit of cardiovascular enrichment. This Mini-Heart’s Candy-like colors of light pink and raspberry appear so delicious that it may attract goblins who may try to steal it, thankfully this heart is attached to a sturdy 8mm stainless steel chain to prevent any goblins prying it from your neck. This item is handmade.Color: Pink Material: Resin & stainless steel Details: Dimensions: Heart - 3.5cm x 4cm, Chain - 54cm Dispatch Time: 2-3 business days
Care Instructions: Keep in provided dust bag, avoid acetone (nail polish remover) and salt water. Size:  Length: 21.26 inch In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
219,219,https://ap0cene.com/collections/aephotika/products/coral-forest-earrings,"
            In the warmer seas, forests of coral grow, spanning great lengths of the ocean's floor. These forests are the beating heart of the sea, without them we'd be left with nothing but a great salt plain. Take these Coral branches with you to carry the heart of the sea with you. Made to be worn comfortably, the goo earrings are extremely lightweight and are on sterling silver hooks. This item is handmade.Color:  Orange, mint, lime Material: Resin, sterling silver Details: 1cm x 3.5 cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water.     In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
228,228,https://ap0cene.com/collections/aephotika/products/corrupted-gems-earrings,"
            It is said that these Goo gems were once a pure and bright opalescent pink, now however they have become corrupted. Swirls of charcoal grey have overcome and twisted them into the broken gems you see before you. Will you wear them and accept whatever fate they may bring? Made to be worn comfortably, these Goo earrings are extremely lightweight and are on sterling silver hooks. This item is handmade.Color:  Fuchsia, mint, charcoal, black Material: Resin, sterling silver Details: 1.5cm x 3.5cm Dispatch Time: 2-3 business daysCare Instructions: Keep in provided dust bag, keep away from acetone (nail polish remover) and salt water.      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @Aephotika

"
237,237,https://ap0cene.com/collections/aiyana-monae/products/bucket-hat,"
            A bucket hat made from cotton twine and brushed wool. This piece is biodegradable and can be returned to the Earth. This item is handmade.Color: White Material: Cotton and woolDetails: Cotton twine that gives a nice heavy feel.Dispatch Time: Within 1-2 business days.Care Instructions: Hand wash with wool wash, lay flat to dry. In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @y.eeen

"
262,262,https://ap0cene.com/collections/aiyana-monae/products/bonnet,"
            A Bonnet made with mostly un-spun wool, and mohair. This piece is biodegradable and can be returned to the Earth.This item is handmade.Color: Pink Material: 80% wool, 20% mohair. Details: Ties at the neck into a bow. Dispatch Time: Within 1-2 business days.Care Instructions: Hand wash with wool wash, lay flat to dry.     In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund. @y.eeen

"
298,298,https://ap0cene.com/collections/aiyana-monae/products/shirt1,"
The Mosaic Crochet Halter features a cut-out design made from mostly wool and some mohair. This garment is super adjustable and can be styled a few different ways. This piece is biodegradable and can be returned to the Earth.
This item is handmade Color: Cream, mauve, brownMaterial: 70% wool, 30% mohair Details: Ties four times, can mix and match the ties to customize your fit.Dispatch Time: Within 1-2 business days.Care Instructions: Hand wash with wool wash, lay flat to dry.Size: Waist: 24-60” Length: 24” Model is 5’5” and wears Small-Medium In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund. @y.eeen

"
314,314,https://ap0cene.com/collections/aiyana-monae/products/beanie,"
            A beanie made of 100% double ply un-spun wool. This piece is biodegradable and can be returned to the Earth.This item is handmade.Color: Brown  Material: 100% woolDetails: Reversible, one side is brushed out the other isn’t. Dispatch Time: Within 1-2 business days.Care Instructions: Hand wash with wool wash, lay flat to dry.      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund. @y.eeen

"
363,363,https://ap0cene.com/collections/alexandra-zhukova/products/machine-knit-top,"
Delicate knit top with leather details throughout
This item is handmade.
Color: Grey, blackMaterial: Cotton, leather Details: Machine knit, delicate Dispatch Time: 2-5 business days Care Instructions: Hand wash, lay flat to drySize: Model wears size XS / EU 34        In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova
"
388,388,https://ap0cene.com/collections/alexandra-zhukova/products/hairy-pants,"
            Pants made with ""hairy"" wool and cotton lining. This item has a low waisted fit.This item is handmade.Color: Grey Material: Wool, cotton Details: Side zipper Dispatch Time: 2-5 business daysCare Instructions: Hand wash, lay flat to drySize: Model wears size XS / EU 34      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova

"
424,424,https://ap0cene.com/collections/alexandra-zhukova/products/black-buttoned-up-shirt,"
Black buttoned up shirt with exaggerated sleeves.This item is handmade. Color: Black Material: Cotton Details: Hidden placket Dispatch Time: 2-3 weeks
Care Instructions: Hand wash, lay flat to drySize: Model wears a size Small / EU 36
       In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova
 

"
440,440,https://ap0cene.com/collections/alexandra-zhukova/products/hand-knit-gradient-romper,"
            Hand knit romper with a gradient knit pattern.This item is handmade.Color: Black Material: Wool, cotton Details: StretchyDispatch Time: 2-5 business daysCare Instructions: Hand wash, lay flat to drySize: Model wears a size Small / EU 34      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova

"
456,456,https://ap0cene.com/collections/alexandra-zhukova/products/white-top-with-a-hood,"
Asymmetrical jersey top with boning details.This item is handmade-to-order, expect additional processing time.Color: White Material: Cotton Details: No closures, stretchy, comfortable Dispatch Time: 2-5 business days
Care Instructions: Hand wash, lay flat to drySize: Fits XS-M at best
 In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund. @alexandraazhukova

"
481,481,https://ap0cene.com/collections/alexandra-zhukova/products/jeans-with-bleached-details-and-holes,"
            Jeans with bleached details and holes This item is handmade-to-order, expect additional processing time Color: BlueMaterial: Cotton Details: Bleached details Dispatch Time: 2-5 business daysCare Instructions: Hand wash on cold, lay flat to drySize: Model wears a size XS / EU 34      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova

"
517,517,https://ap0cene.com/collections/alexandra-zhukova/products/felted-top,"
            Felted silk top with a button This item is handmade. Color: Black Material: Wool, silk Details: Button detail on the side Dispatch Time: 2-5 business daysCare Instructions: Hand wash, lay flat to drySize: Model wears a size Small / EU 34      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @alexandraazhukova

"
553,553,https://ap0cene.com/collections/alisa-cayoo/products/transparent-piercing-necklace,"
""Transparent piercing"" necklace made out of different up-cycled objects: metal elements, plastic piercings and chains. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.This item is handmade.Color: SilverMaterial: 100% up-cycled metal, pearls and plastic elementsDetails: Wear it solo or combine with other jewelry for amazing looks!Dispatch Time: 2-3 business daysCare Instructions: Hand wash if neededSize: Length: 15.7""

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
557,557,https://ap0cene.com/collections/alisa-cayoo/products/nice-girl-knit-corset,"
The perfect one-piece corset handmade from recycled jersey fabrics by Alisa Cayoo.This item is handmadeColor: Pink, White, BlackMaterial: 100% up cycled jerseyDetails: Comes without straps.Dispatch Time: 2- 3 business days Care Instructions: Hand wash if neededSize:  One size. Perfect for size XS / S

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
566,566,https://ap0cene.com/collections/alisa-cayoo/products/sweetheart-necklace,"
""Sweetheart"" necklace made out of up-cycled metal objects, fluffy heart and plastic elements. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.This item is made-to-order, expect additional processing time.Color: SilverMaterial: 100% recycled metal and plastic objectsDetails: Wear it solo or combine with other jewelry for amazing looks!
Dispatch Time: 2 - 3 business daysCare Instructions: Hand wash if neededSize: Length: 15.7""

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
567,567,https://ap0cene.com/collections/alisa-cayoo/products/dont-bite-off-more-than-you-can-chew-necklace,"
""Don’t bite off more than you can chew"" necklace made out of different up-cycled metal objects, chains and details from previously used jewelry. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.This item is handmade.Color: SilverMaterial: 100% Up-cycled metalDetails: Wear it solo or combine with other jewelry for an eclectic, cyberpunk look! Dispatch Time: 2-3 business daysCare Instructions: Hand wash if neededSize: Length: 15.7""

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
568,568,https://ap0cene.com/collections/alisa-cayoo/products/starlight-necklace,"
""Starlight"" necklace made out of up-cycled metal objects. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.This item is handmade.Color: SilverMaterial: 100% up-cycled metalDetails: Wear it solo or combine with other jewelry for an eclectic, cyberpunk look! Dispatch Time: 2-3 business daysCare Instructions: Hand wash if neededSize: Length: 15.7""

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
569,569,https://ap0cene.com/collections/alisa-cayoo/products/fallen-angel-necklace,"
""Fallen angel"" necklace made out of up-cycled metal objects and chains. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.This item is handmade.Color: SilverMaterial: 100% up-cycled metalDetails: Wear it solo or combine with other jewelry for an eclectic, cyberpunk look! Dispatch Time: 2-3 business daysCare Instructions: Hand wash if neededSize: Length: 15.7""

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
570,570,https://ap0cene.com/collections/alisa-cayoo/products/buckle-chain-necklace,"





""Buckle chain"" necklace made out of different up-cycled metal buckles. It includes a logo tag and carabiner for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.




This item is handmade.Color: SilverMaterial: 100% up-cycled metalDetails: Carabiner on the back side for easy removal.Dispatch Time: 2-3 business daysCare Instructions: Hand wash if neededSize: Length: 15.3"" 

In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.@pompeznaya_ebuchka
"
571,571,https://ap0cene.com/collections/alisa-cayoo/products/hearts-necklace,"
            ""Hearts"" necklace made out of recycled metal, plastic objects, and chains. It includes logo tag and carabiners for comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi. This item is handmade.Color: Silver Material: 100% recycled metal and plastic beads Details: Includes reused objects Dispatch Time: 3-4 business daysCare Instructions: Hand wash if needed.Size:  Length: 16.1 inch       In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
587,587,https://ap0cene.com/collections/alisa-cayoo/products/locker-necklace,"
            ""Locker"" necklace made out of recycled metal, plastic objects, and chains. It includes logo tag and carabiners for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi. Wear it solo or combine with other jewelry! This item is handmade.Color: Silver Material: 100% metal Details: Small minimalistic necklace for amazing Y2K looks.Dispatch Time: 3-4 business daysCare Instructions: Hand wash if neededSize:  Length: 15.7 inch       In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
603,603,https://ap0cene.com/collections/alisa-cayoo/products/buckle-necklace,"
            ""Neon demon"" necklace made out of recycled metal, plastic objects, and chains. It includes a logo tag and carabiners for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi. Wear it solo or combine with other jewelry for amazing looks! This item is handmade.Color: Silver Material: 100% recycled metal, plastic beads, and rubber Details: Two carabiners for easy removal.Dispatch Time: 3 -4 business daysCare Instructions: Hand wash if needed.Size:  Length: 15.3 inch  In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
628,628,https://ap0cene.com/collections/alisa-cayoo/products/skull-necklace,"
            ""Skull"" necklace made out of recycled metal, plastic objects, and chains. It includes a logo tag and carabiners for a comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi. This item is handmade.Color: Silver Material: 100% recycled metal and plastic objects Details: Wear it solo or combine with other jewelry for amazing looks! Dispatch Time: 3 - 4 business daysCare Instructions: Hand wash if needed Size:  Length: 18 inch In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
644,644,https://ap0cene.com/collections/alisa-cayoo/products/ponchik-necklace,"
            ""Ponchik"" necklace is a made-to-order piece, which consist of a chain and 6 rings. Each ring is attached with a carabiner made of silicone, metal circles and plastic beads. This item is handmade by Alisa Cayoo in Georgia, Tbilisi. This item is made-to-order, expect additional processing time.Color: Silver Material: Stainless steel, plastic beads and silicone Details: You can customize the necklace – take off elements and combine them as you like. Dispatch Time: 1 - 2 weeksCare Instructions: Hand wash if needed Size:  Length: 15 inch

 In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
660,660,https://ap0cene.com/collections/alisa-cayoo/products/key-necklace,"
The Key Necklace is made out of recycled metal, plastic objects, and chains. It includes logo tag and carabiner for comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi. Wear it solo or combine with other jewelry for an eclectic, cyberpunk look! This item is handmade.Color: Silver Material: 100% recycled metal, plastic beads and rubber Details: Item includes transparent rubber, so be careful with water, it may distract objects with beads Dispatch Time: 3 -4 business daysCare Instructions: Hand wash if needed.
 In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
676,676,https://ap0cene.com/collections/alisa-cayoo/products/pearl-demon-necklace,"
            ""Pearl Demon"" necklace made out of recycled metal, plastic objects, pearls and chains. It includes brand logo tag and carabiners for comfortable fit. All necklaces are handmade and one-of-one pieces made with love by Alisa Cayoo in Georgia, Tbilisi.Wear it solo or combine with other jewelry for amazing looks! This item is handmade.Color: Silver Material: 100% recycled metal, pearls and plastic beads Details: You can style it like chain, necklace or bracelet Dispatch Time: 3 - 4 business days Care Instructions: Hand wash if needed. In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
685,685,https://ap0cene.com/collections/alisa-cayoo/products/lolita-corset,"
            ""Lolita"" corset made out of reused jersey, lace, and little metal objects. One-of-one piece made with love by Alisa Cayoo in Georgia, Tbilisi. This item is handmade.Color: White Material: 50% up-cycled jersey, 50% lace Details: Comes with straps. Perfect for size S / M Dispatch Time: 2-3 days Care Instructions: Hand wash if needed.Size: Model wears size small.      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @pompeznaya_ebuchka

"
710,710,https://ap0cene.com/collections/andagain/products/circle-wrist-wallet,"
            The Circle Wrist Wallet is created from deadstock dark gray textured leather. It features our signature stainless steel metal work, a metal zipper closure, and a black strap designed to be worn on the wrist. This item is handmade.Color: Black Material: Leather and stainless steel Details: adjustable wrist strap Dispatch Time: 2-3 business daysCare Instructions: Spot clean with leather cleaner Size:  Length: 7"" Width: 7""      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @andagainco

"
714,714,https://ap0cene.com/collections/andagain/products/oyster-tote-bag,"
            The Oyster Tote Bag is created using real upcycled oysters coated in polyurethane and is attached using our signature stainless steel chainmail technique. This bag is lined in deadstock black denim, has deadstock black leather gussets, and features a zip closure. Handmade in Los Angeles studio. This item is handmade.Color: Black Material: Oysters, Black Leather, Black Denim Details: zipper closure and internal zipper pocket Dispatch Time: 2-3 business daysCare Instructions: Spot clean only Size:  Length: 12"" Width: 8"" Depth: 2""

      In making a purchase, you are directly supporting small artists by contributing to the ap0cene fund for creatives. A portion of all proceeds will be allocated to the fund.  @andagainco

"
